,name,ownerAddress,breedCount,pegaTotalRaces,speed,strength,wind,fire,water,lightning,gender,bloodLine,breedType,winRate,win,lose,avg_position,firt_places,second_places,third_places,total_rewards
0,EUPHORIA | Maddy,0x1c08823b848feB11B62b92D710C97B0d6f200a5c,3,269,6.06,7.55,4.07,3.4,8.25,8.57,Male,Klin,Pacer,0.23,63,206,7.05,6,6,13,1232
0,syzygy #150 | Real Deal,0x655a775c20067208b206f7024227D2dD5A41d715,2,79,8.39,8.13,8.46,0.74,4.85,4.12,Female,Campona,Epic,0.22,17,62,7.946428571428571,6,1,4,778
0,GRAIA | TANG,0xB60ffa12b89421B04fAd364Ec899FEc2CDF271f8,2,266,1.4,5.26,5.52,5.85,1.15,3.28,Male,Hoz,Pacer,0.15,41,225,8.29,4,5,2,692
0,Uhanti ELITE | TCG,0x46A221aFC19594F02021473ffd0025632d9f2CA4,3,266,5.63,0.24,5.37,2.08,8.81,6.16,Male,Klin,Rare,0.31,82,184,5.23,24,9,4,3020
0,JBA41,0x03336D2cA9D336037500F2148CbCD9C325F03a9F,3,282,4.94,4.03,0.62,7.9,5.83,0.55,Female,Campona,Rare,0.22,62,220,7.04,10,7,7,1540
0,MatÃ³n,0x2b2550F0715F2aCBCd9eBE78E27B2D0e1470Cc2e,3,277,6.78,1.54,4.57,3.24,5.59,5.04,Female,Hoz,Pacer,0.26,73,204,5.43,9,11,8,1637
0,Riendou 16 | Real Deal,0x97A506ccdF5e91eCA2714B3D49E61CA470a74d85,3,193,1.77,3.18,3.12,4.3,6.44,0.18,Female,Campona,Pacer,0.33,64,129,6.87,14,8,13,2160
0,Pikit,0x6788091CcCC454Fe821991Fbd71a2DA48922bd87,3,270,0.1,7.39,4.98,4.35,8.83,1.31,Female,Hoz,Pacer,0.32,86,184,7.09,8,12,19,1862
0,Real Deal Guild #121,0x664Fe01207Dc37C84A97A8dCdC28bCc1Da6bEE57,3,277,2.09,4.44,8.9,8.87,6.38,3.2,Female,Hoz,Pacer,0.15,42,235,8.18,4,5,5,770
0,Bieber Fever,0x462A82a7ff6F717726EF2d38cD6Ba1AfD9b29975,3,268,8.23,3.72,7.06,0.48,6.36,4.09,Male,Hoz,Pacer,0.27,73,195,6.78,12,12,6,1944
0,Banana | WGLG 51,0xbfCAb5Ac6dd23275cC834dA64DcA205b824Bf115,3,260,1.95,1.37,6.42,1.13,0.88,8.38,Female,Campona,Pacer,0.22,58,202,8.85,10,9,7,1628
0,Samanta Bradtke,0x930fDDe10c8cDA758232873A8428EF380810843A,3,273,8.36,6.53,2.89,4.01,1.51,5.7,Female,Zan,Pacer,0.15,41,232,9.07,2,4,4,490
0,Nfg,0xF5591Bca52981A54d95534F4E7bd5eE637642fE6,1,276,7.37,0.9,0.9,6.82,8.06,0.02,Female,Klin,Legendary,0.54,150,126,4.75,42,15,9,5304
0,Lorena Toy,0x84b21ECD09E9734BfD8b02D769762c626403C1a2,2,206,4.99,5.51,4.69,7.45,6.21,2.88,Male,Zan,Pacer,0.21,44,162,7.37,6,5,6,1006
0,LLG|S33,0xbFA31B0691A1c9a9D7fFb3270A038543Cb4B9243,3,264,3.87,5.12,1.15,5.94,1.42,6.47,Female,Campona,Rare,0.27,70,194,7.64,12,7,9,1802
0,NEBULA,0x74A231f77851D9F854a04197756B6A2508fF093A,1,266,5.59,0.62,3.3,5.38,0.5,1.54,Male,Campona,Legendary,0.42,113,153,5.02,11,18,17,2389
0,GnomeFoxy | WSG,0x044aCe305d73154fdf7372dE7a2aEc587956Bd04,3,267,0.56,8.43,1.12,2.08,2.68,4.8,Female,Zan,Pacer,0.19,51,216,7.63,4,3,8,760
0,Salt AXSY | ZD,0xbbba7583e1fD4531608AAb348370679727467dfC,3,253,1.86,6.54,0.24,1.61,0.62,2.76,Female,Hoz,Pacer,0.17,43,210,8.36,2,6,2,526
